Species,BodySize_kg,SocialStatus,Habitat,Magic_thaum
Niffler,1.5,2,1,106.26583
Occamy,50,2,1,86.67913
Kelpie,0.5,2,2,98.59024
Demiguise,100,1,1,57.02993
Dragon,8000,1,3,131.92636
Hinkypuff,1,2,1,44.41697
Murtlap,2.5,2,1,110.86591
Phoenix,6,1,3,80.76753
Thunderbird,800,1,3,120.08563
Thestral,600,2,3,94.95248
Gnome,25,2,1,89.90232
Doxie,1.5,2,1,88.71966
Skrewt,250,1,2,110.19503
Erumpent,4000,2,1,103.37675
Fire_crab,200,2,2,130.9696
Pixie,0.4,2,1,155.8874
Bowtruckle,0.35,2,1,111.05367
Boggart,35,1,1,139.03335
Basilisk,7500,1,1,70.12674
Acromantula,2000,2,1,108.56719
Fairy,0.375,2,3,71.83435
Nundu,250,2,1,119.43129
Grindylow,0.55,2,1,127.48577
Swooping_evil,12,1,3,174.46035
Imp,0.6,2,1,109.86022
Fire_salamander,20,2,2,109.75336
Mooncalf,400,2,1,115.79084
Graphorn,3750,2,1,90.22254
Hippogriff,700,2,3,136.64738
Fwooper,9,1,3,80.6596
