# Data from Arrington et al. (2002) Ecology 83:2145-2151: http://www.esapubs.org/archive/ecol/E083/038/appendix-A.htm
Order,Family,Species,Location,DielBehavior,TrophicCategory,NIndiv,PercEmpty
Osteoglossiformes,Mormyridae,Hippopotamyrus discorhynchus,Africa,Nocturnal,Invertivore,37,10.81
Osteoglossiformes,Mormyridae,Marcusenius macrolepidotus,Africa,Nocturnal,Invertivore,83,16.87
Osteoglossiformes,Mormyridae,Mormyrus lacerda,Africa,Nocturnal,Invertivore,46,4.35
Osteoglossiformes,Mormyridae,Petrocephalus catostoma,Africa,Nocturnal,Invertivore,11,0.00
Osteoglossiformes,Mormyridae,Pollimyrus castelnaui,Africa,Nocturnal,Invertivore,47,0.00
Cypriniformes,Cyprinidae,Barbus annectens,Africa,Diurnal,Omnivore,17,0.00
Cypriniformes,Cyprinidae,Barbus paludinosus,Africa,Diurnal,Invertivore,60,8.33
Cypriniformes,Cyprinidae,Barbus poechii,Africa,Diurnal,Omnivore,51,3.92
Cypriniformes,Cyprinidae,Labeo lunatus,Africa,Diurnal,Algiv./Detritiv.,19,21.05
Characiformes,Alestiidae,Brycinus lateralis,Africa,Diurnal,Omnivore,19,0.00
Characiformes,Hepsetidae,Hepsetus odoe,Africa,Diurnal,Piscivore,194,56.19
Siluriformes,Clariidae,Clarias gariepinus,Africa,Nocturnal,Piscivore,59,64.41
Siluriformes,Clariidae,Clarias ngamensis,Africa,Nocturnal,Piscivore,48,41.67
Siluriformes,Clariidae,Clarias theodorae,Africa,Nocturnal,Piscivore,19,10.53
Siluriformes,Mochokidae,Synodontis leopardinus,Africa,Nocturnal,Invertivore,62,29.03
Siluriformes,Mochokidae,Synodontis macrostigma,Africa,Nocturnal,Invertivore,28,21.43
Siluriformes,Mochokidae,Synodontis nigromaculatus,Africa,Nocturnal,Invertivore,24,0.00
Siluriformes,Mochokidae,Synodontis woosnami,Africa,Nocturnal,Invertivore,82,8.54
Siluriformes,Schilbeidae,Schilbe mystus,Africa,Nocturnal,Piscivore,399,40.35
Cyprinodontiformes,Poeciliidae,Aplocheilichthys johnstoni,Africa,Diurnal,Invertivore,65,1.54
Synbranchiformes,Mastacembelidae,Caecomastacembelus frenatus,Africa,Nocturnal,Invertivore,10,40.00
Perciformes,Cichlidae,Hemichromis fasciatus,Africa,Diurnal,Piscivore,20,65.00
Perciformes,Cichlidae,Oreochromis andersonii,Africa,Diurnal,Algiv./Detritiv.,20,0.00
Perciformes,Cichlidae,Oreochromis macrochir,Africa,Diurnal,Invertivore,42,9.52
Perciformes,Cichlidae,Pharyngochromis darlingi,Africa,Diurnal,Invertivore,28,0.00
Perciformes,Cichlidae,Pseudocrenilabrus philander,Africa,Diurnal,Invertivore,48,0.00
Perciformes,Cichlidae,Sargochromis carlottae,Africa,Diurnal,Invertivore,35,5.71
Perciformes,Cichlidae,Sargochromis codringtonii,Africa,Diurnal,Invertivore,119,10.92
Perciformes,Cichlidae,Sargochromis giardi,Africa,Diurnal,Invertivore,101,50.50
Perciformes,Cichlidae,Serranochromis altus,Africa,Diurnal,Piscivore,104,77.88
Perciformes,Cichlidae,Serranochromis angusticeps,Africa,Diurnal,Piscivore,223,78.92
Perciformes,Cichlidae,Serranochromis macrocephalus,Africa,Diurnal,Piscivore,267,70.79
Perciformes,Cichlidae,Serranochromis robustus,Africa,Diurnal,Piscivore,181,58.01
Perciformes,Cichlidae,Tilapia rendalli,Africa,Diurnal,Algiv./Detritiv.,86,9.30
Perciformes,Cichlidae,Tilapia sparrmani,Africa,Diurnal,Algiv./Detritiv.,92,4.35
Clupeiformes,Clupeidae,Pellona castelnaeana,Central/South America,Diurnal,Piscivore,20,35.00
Characiformes,Alestiidae,Hydrocynus vittatus,Central/South America,Diurnal,Piscivore,319,55.80
Characiformes,Anostomidae,Leporinus friderici,Central/South America,Diurnal,Omnivore,65,3.08
Characiformes,Anostomidae,Schizodon isognathus,Central/South America,Diurnal,Omnivore,92,1.09
Characiformes,Characidae,Acestrorhynchus heterolepis,Central/South America,Diurnal,Piscivore,11,72.73
Characiformes,Characidae,Acestrorhynchus minimus,Central/South America,Diurnal,Piscivore,35,45.71
Characiformes,Characidae,Aphyocharax erythrurus,Central/South America,Diurnal,Invertivore,273,2.56
Characiformes,Characidae,Astyanax bimaculatus,Central/South America,Diurnal,Omnivore,390,1.79
Characiformes,Characidae,Astyanax fasciatus,Central/South America,Diurnal,Omnivore,549,1.46
Characiformes,Characidae,Astyanax metae,Central/South America,Diurnal,Omnivore,182,1.10
Characiformes,Characidae,Brycon guatemalensis,Central/South America,Diurnal,Omnivore,115,2.61
Characiformes,Characidae,Brycon sp.,Central/South America,Diurnal,Omnivore,18,0.00
Characiformes,Characidae,Bryconamericus beta,Central/South America,Diurnal,Omnivore,460,0.65
Characiformes,Characidae,Bryconops giacopinii,Central/South America,Diurnal,Omnivore,110,0.91
Characiformes,Characidae,Catoprion mento,Central/South America,Diurnal,Piscivore,23,8.70
Characiformes,Characidae,Characidium sp.,Central/South America,Diurnal,Invertivore,17,0.00
Characiformes,Characidae,Characidium sp. 1,Central/South America,Diurnal,Invertivore,183,6.01
Characiformes,Characidae,Characidium sp. 2,Central/South America,Diurnal,Invertivore,27,14.81
Characiformes,Characidae,Characidium sp. J,Central/South America,Diurnal,Invertivore,68,19.12
Characiformes,Characidae,Charax condei,Central/South America,Nocturnal,Invertivore,75,36.00
Characiformes,Characidae,Charax gibbosus,Central/South America,Diurnal,Piscivore,295,26.78
Characiformes,Characidae,Cheirodon pulcher,Central/South America,Diurnal,Omnivore,345,2.03
Characiformes,Characidae,Cheirodontops geayi,Central/South America,Diurnal,Invertivore,94,6.38
Characiformes,Characidae,Corynopoma riisei,Central/South America,Diurnal,Invertivore,243,0.41
Characiformes,Characidae,Creagrutus sp.,Central/South America,Diurnal,Omnivore,317,0.95
Characiformes,Characidae,Ctenobrycon spilurus,Central/South America,Diurnal,Omnivore,384,1.56
Characiformes,Characidae,Ephippicharax orbicularis,Central/South America,Diurnal,Omnivore,13,0.00
Characiformes,Characidae,Gephyrocharax valencia,Central/South America,Diurnal,Invertivore,295,2.37
Characiformes,Characidae,Gnathocharax steindachneri,Central/South America,Diurnal,Invertivore,33,3.03
Characiformes,Characidae,Hemigrammus analis,Central/South America,Diurnal,Invertivore,189,10.05
Characiformes,Characidae,Hemigrammus barrigonae,Central/South America,Diurnal,Invertivore,213,7.04
Characiformes,Characidae,Hemigrammus bellottii,Central/South America,Diurnal,Invertivore,174,12.07
Characiformes,Characidae,Hemigrammus micropterus,Central/South America,Diurnal,Invertivore,217,2.30
Characiformes,Characidae,Hemigrammus microstomus,Central/South America,Diurnal,Invertivore,210,2.86
Characiformes,Characidae,Hemigrammus rhodostomus,Central/South America,Diurnal,Invertivore,107,7.48
Characiformes,Characidae,Hemigrammus sp. arriba,Central/South America,Diurnal,Invertivore,136,5.15
Characiformes,Characidae,Hemigrammus sp. scissortail,Central/South America,Diurnal,Invertivore,55,9.09
Characiformes,Characidae,Hemigrammus stictus,Central/South America,Diurnal,Invertivore,208,4.81
Characiformes,Characidae,Hemigrammus vorderwinkleri,Central/South America,Diurnal,Invertivore,117,11.11
Characiformes,Characidae,Heterocharax macrolepis,Central/South America,Nocturnal,Invertivore,113,9.73
Characiformes,Characidae,Hyphessobrycon metae,Central/South America,Diurnal,Omnivore,56,28.57
Characiformes,Characidae,Hyphessobrycon sweglesi,Central/South America,Diurnal,Omnivore,30,0.00
Characiformes,Characidae,Iguanodectes spilurus,Central/South America,Diurnal,Omnivore,27,0.00
Characiformes,Characidae,Jupiaba abramoides,Central/South America,Diurnal,Omnivore,35,0.00
Characiformes,Characidae,Markiana geayi,Central/South America,Diurnal,Omnivore,264,3.79
Characiformes,Characidae,Metynnis hypsauchen,Central/South America,Diurnal,Omnivore,239,0.00
Characiformes,Characidae,Moenkhausia copei,Central/South America,Diurnal,Omnivore,165,19.39
Characiformes,Characidae,Moenkhausia lepidura,Central/South America,Diurnal,Omnivore,31,6.45
Characiformes,Characidae,Myleus rubripinnis,Central/South America,Diurnal,Omnivore,16,0.00
Characiformes,Characidae,Parapristella georgiae,Central/South America,Diurnal,Omnivore,208,36.54
Characiformes,Characidae,Pristobrycon sp.,Central/South America,Diurnal,Piscivore,62,0.00
Characiformes,Characidae,Pristobrycon striolatus,Central/South America,Diurnal,Piscivore,12,8.33
